OTQ	OTS
"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,"	"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱"
"xa zägi mpaha, nub'u̱ xa njabu̱ xa japabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda japi xa po̱ho̱ bi ya kue̱ ra nge'a ya jä'i xi mra no̱t'e ne mra hyotejä'i,"	"xa zägi mpaha, nub'u̱ xa njabu̱ xa japabi ma zu ne inte xa t'otabi nub'u̱ inda japi xa po̱ho̱ bi ya kue̱ ra nge'a ya jä'i xi mra no̱t'e ne mra hyotejä'i"
"y'o, ri ma ne gi xipabihu̱ ya metlaxcala ge ma r'a ya me̱ti jä'i ne ri ajuähu̱, ge nu'a ga mä ge xa ehe nuua ma haihu̱, ge di umbabihe ma nthädihe."	"y'o, ri ma ne gi xipabihu ya metlaxcala ge ma r'a ya me̱ti jä'i ne ri ajuähu, ge nu'a ga mä ge xa ehe nuua ma haihu, ge di umbabihe ma nthädihe."
¿te da o̱t'e ma jä'ihu̱ sta b'e̱dihu̱?	¿te da o̱t'e ma jä'ihu̱ sta b'edihu̱?
"-da ts'iua:... ri ñ'ehe ge'a ma njueih'u̱. da o̱t'ehe ya ñ'o̱te ko ya he̱m'i, ya ñ'o̱t'ehe ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya."	"-da ts'iua:... ri ñ'ehe ge'a ma njueih'u̱. da o̱t'ehe ya ñ'o̱te ko ya hem'i, ya ñ'o̱t'ehe ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya."
-dom'i ma ajuähu̱ ge inda yu̱t'a ha ma nguhu̱ nuhu̱ to'o e̱nts'i pa thi ne da hokuabi ra honanhyo nub'u̱ sta ne da hyoki ya inda za.	-dom'i ma ajua̱hu ge inda yu̱t'a ha ma nguhu̱ nuhu̱ to'o e̱nts'i pa thi ne da hokua̱bi ra honanhyo nub'u̱ sta ne da hyoki ya inda za.
"-o̱t'a ra mäte gi o̱dehu̱, ja gi b'ai nuuahu̱. mont'a ya ngo ajuä; ri juat'i ra ngo ga tsunda ma ajuähe."	"-ot'a ra mäte gi odehu, ja gi b'ai nuuahu. mont'a ya ngo ajuä; ri juat'i ra ngo ga tsunda ma ajuähe."
"-xa hño, di b'u̱ihe njamädihe."	"-xa hño, di b'uihe njamadihe."
-¿nguande njabu̱ ga mäu gra juähu̱?	-¿nguande njabu ga mäu gra juähu?
"-ñ'emabagi, ya gabida, ya jä'ihu̱ gi pädi ra ntuni ra mem'onda ba ehehu̱ ga te̱nihu̱ma nzu̱tehu̱. ko ya mätsa mi te̱he̱, ko ya bu̱'bai ko ngatho ra ts'e̱di mi te̱he̱ ra ñ'u."	"-ñ'emabagi, ya gabida, ya jä'ihu gi pädi ra ntuni ra mem'onda ba ehehu ga te̱nihu̱ma nzu̱tehu̱. ko ya mätsa mi te̱he̱, ko ya bu̱'bai ko ngatho ra ts'e̱di mi te̱he̱ ra ñ'u."
"bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya njändahmä, ngu nu'a ra hmä ra alonso axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa."	"bi tseti nuna ngoti ra mondo, ngu pede ra dangi b'ede, ya k'oi ne ya njandahma, ngu nu'a ra hma ra alonso axayaca, goho n'ate ma pa bi nzote nuna pa."
"into y'o manjuäntho, into pa ri nektho."	"into y'o manjuäntho, into pa ri nektho"
"nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]"	"nub'u ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u ndi unihe ya k'astaboja mi häni made n'a tu̱ki"
"ya miñ'o ko ngehna hmä ri johya,"	ya miño ko ngexna hmä ri johya
bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱hso̱ ra ngo ma ajü̱ähu̱: nubia da fu̱di da gwadi ra r'e̱t'a ra pa.
