	tetragrama	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
185	tzin	Tlacotzin,	Bi unbi ra ts'e̱di ra Tlacotzin,	bi unbi ra ts'e̱di ra tlatsotzin,	bi unbi ra ts'e̱di ra tlatsotzin,	bi unbi ra ts'e̱di ra tlatsotzin,	bi unbi ra cʔɛdi ra tlacotzin,	bi unbi ra t͡sʔɛdi ra tlat͡sotzin,
186	tzin	Coyohuehuetzin,	Mi ñ'ehe, ra ndä mra thuhu ra Cuauhtémoc ne ko nge'a ya gabida ra Coyohuehuetzin, ra Temilotzin, ra Topantemoctzin, ra Ahuelitoctzin, ra Mixcoatlailotlactzin, ra Tlacuhtzin ne ra Petlauhtzin	mi ñ'eje, ra ndä mra tjuju ra tsuaujtémots ne ko nge'a ya gabida ra tsoyojuejuetzin, ra temilotzin, ra topantemotstzin, ra ajuelitotstzin, ra mixtsoatlailotlatstzin, ra tlatsujtzin ne ra petlaujtzin	mi ñ'ehe, ra ndä mra thuhu ra tsuauhtémots ne ko nge'a ya gabida ra tsoyohuehuetzin, ra temilotzin, ra topantemotstzin, ra ahuelitotstzin, ra mixtsoatlailotlatstzin, ra tlatsuhtzin ne ra petlauhtzin	mi ñ'ehe, ra ndä mra thuhu ra tsuauhtémots ne ko nge'a ya gabida ra tsoyohuehuetzin, ra temilotzin, ra topantemotstzin, ra ahuelitotstzin, ra mixtsoatlailotlatstzin, ra tlatsuhtzin ne ra petlauhtzin	mi ñʔehe, ra ndᶏ mra thuhu ra cuauhtémoc ne ko ngeʔa ya gabida ra coyohuehuetzin, ra temilotzin, ra topantemoctzin, ra ahuelitoctzin, ra mišcoatlailotlactzin, ra tlacuhtzin ne ra petlauhtzin	mi ɲʔehe, ra ndã mɾa thuhu ra t͡suauhtémot͡s ne ko ngeʔa ja gabida ra t͡sojohuehuetzin, ra temilotzin, ra topantemot͡stzin, ra ahuelitot͡stzin, ra miʃt͡soatlailotlat͡stzin, ra tlat͡suhtzin ne ra petlauhtzin
187	tzin	Tecohuatzin,	Tehuetzquiti, Tecohuatzin, po̱de gi b'u̱i?	tejuetzquiti, tetsojuatzin, po̱de gi b'u̱i?	tehuetzquiti, tetsohuatzin, po̱de gi b'u̱i?	tehuetzquiti, tetsohuatzin, po̱de gi b'u̱i?	tehuetzquiti, tecohuatzin, pɔde gi bʔɨi?	tehuetzquiti, tet͡sohuatzin, pɔde gi bʔɨi?
188	tzin	Itzcohuatzin.	xki ju̱ ra fadi ra Ts'e̱y'e̱hmu ne ra ndä Tlatelolco, ra Itzcohuatzin.	xki ju̱ ra fadi ra ts'e̱y'e̱jmu ne ra ndä tlateloltso, ra itztsojuatzin.	xki ju̱ ra fadi ra ts'e̱y'e̱hmu ne ra ndä tlateloltso, ra itztsohuatzin.	xki ju̱ ra fadi ra ts'e̱y'e̱hmu ne ra ndä tlateloltso, ra itztsohuatzin.	ški khɨ ra phadi ra cʔɛyʔɛhmu ne ra ndᶏ tlatelolco, ra itzcohuatzin.	ʃki khɨ ra ɸadi ra t͡sʔɛjʔɛhmu ne ra ndã tlatelolt͡so, ra itzt͡sohuatzin.
189	tzin	Patlahuatzin,	ya jä'i bi hyandi te ra du ra Patlahuatzin, ra hoga me̱pate dige'a nu'a ra hai,	ya jä'i bi jyandi te ra du ra patlajuatzin, ra joga me̱pate dige'a nu'a ra jai,	ya jä'i bi hyandi te ra du ra patlahuatzin, ra hoga me̱pate dige'a nu'a ra hai,	ya jä'i bi hyandi te ra du ra patlahuatzin, ra hoga me̱pate dige'a nu'a ra hai,	ya khᶏʔi bi hyandi te ra du ra patlahuatzin, ra hoga mɛpate digeʔa nuʔa ra hai,	ja khãʔi bi hjandi te ra du ra patlahuatzin, ra hoga mɛpate digeʔa nuʔa ra hai,
190	tzin	Temilotzin,	Ebu̱ ba ehe era Temilotzin, ba b'u̱i nubu̱ ra Capultitlan.	ebu̱ ba eje era temilotzin, ba b'u̱i nubu̱ ra tsapultitlan.	ebu̱ ba ehe era temilotzin, ba b'u̱i nubu̱ ra tsapultitlan.	ebu̱ ba ehe era temilotzin, ba b'u̱i nubu̱ ra tsapultitlan.	ebɨ ba ehe era temilotzin, ba bʔɨi nubɨ ra capultitlan.	ebɨ ba ehe eɾa temilotzin, ba bʔɨi nubɨ ra t͡sapultitlan.
191	tzin	Malintzin	"Ebu̱ bi bo̱ni, bi meui nuni Nonohualco, ha ra Ngu ra B'ongui habu̱ ra gabida ne ra Malintzin ne ""ra hyadi"" (Alvarado) ne ra Sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonojualtso, ja ra ngu ra b'ongui jabu̱ ra gabida ne ra malintzin ne ""ra jyadi"" (alvarado) ne ra sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonohualtso, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"ebu̱ bi bo̱ni, bi meui nuni nonohualtso, ha ra ngu ra b'ongui habu̱ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"ebɨ bi bɔni, bi meui nuni nonohualco, ha ra ngu ra bʔongui habɨ ra gabida ne ra malintzin ne ""ra hyadi"" (alvarado) ne ra sandoval."	"ebɨ bi bɔni, bi meui nuni nonohualt͡so, ha ra ngu ra bʔongui habɨ ra gabida ne ra malintzin ne ""ɾa hjadi"" (alvaɾado) ne ra sandoval."
192	tzin	huaxotzinkas	Nelpilini mra Ndä ya huaxotzinkas bi guat'i pa da mfaste ra Cortés, nu'a ra thetse ra hnini dige'a M'onda. Handihu̱ ra Alva Ixtlilxóchitl, Obras históricas t. II p. 1256.	nelpilini mra ndä ya juaxotzinkas bi guat'i pa da mfaste ra tsortés, nu'a ra tjetse ra jnini dige'a m'onda. jandiju̱ ra alva ixtlilxóchitl, obras jistóritsas t. ii p. 1256.	nelpilini mra ndä ya huaxotzinkas bi guat'i pa da mfaste ra tsortés, nu'a ra thetse ra hnini dige'a m'onda. handihu̱ ra alva ixtlilxóchitl, obras históritsas t. ii p. 1256.	nelpilini mra ndä ya huaxotzinkas bi guat'i pa da mfaste ra tsortés, nu'a ra thetse ra hnini dige'a m'onda. handihu̱ ra alva ixtlilxótxitl, obras históritsas t. ii p. 1256.	nelpilini mra ndᶏ ya huašotzinkas bi guatʔi pa da mphaste ra cortés, nuʔa ra thece ra hnini digeʔa mʔonda. handihɨ ra alva ištlilšóčitl, obras históricas t. ii p. 1256.	nelpilini mɾa ndã ja huaʃotzinkas bi guatʔi pa da mɸaste ra t͡soɾtés, nuʔa ra thet͡se ra hnini digeʔa mʔonda. handihɨ ra alva iʃtlilʃót͡ʃitl, obɾas históɾit͡sas t. ii p. 1256.
193	tzin	Cacamatzin,	Me̱t'o ra Cacamatzin, mra Täayä ra hnini Tetzcuco,	me̱t'o ra tsatsamatzin, mra täayä ra jnini tetztsutso,	me̱t'o ra tsatsamatzin, mra täayä ra hnini tetztsutso,	me̱t'o ra tsatsamatzin, mra täayä ra hnini tetztsutso,	mɛtʔo ra cacamatzin, mra tᶏayᶏ ra hnini tetzcuco,	mɛtʔo ra t͡sat͡samatzin, mɾa tãajã ra hnini tetzt͡sut͡so,
194	tzin	Motelchiuhtzin,	Xa ehe da fo̱te ra bu̱'bai Motelchiuhtzin,	xa eje da fo̱te ra bu̱'bai motelchiujtzin,	xa ehe da fo̱te ra bu̱'bai motelchiuhtzin,	xa ehe da fo̱te ra bu̱'bai moteltxiuhtzin,	ša ehe da phɔte ra bɨʔbai motelčiuhtzin,	ʃa ehe da ɸɔte ra bɨʔbai motelt͡ʃiuhtzin,
195	tzin	Topantemoctzin,	Nub'u̱ sti nxanihe n'ambu̱ ya bo̱nahmu ra metlatelolco ba tso̱ni nuni Cuauhtitlán nu'u̱ ra Topantemoctzin, ra Tlacochcálcatl, ra Coyohuehuetzin ne ra Temilotzin.	nub'u̱ sti nxanije n'ambu̱ ya bo̱najmu ra metlateloltso ba tso̱ni nuni tsuaujtitlán nu'u̱ ra topantemotstzin, ra tlatsochtsáltsatl, ra tsoyojuejuetzin ne ra temilotzin.	nub'u̱ sti nxanihe n'ambu̱ ya bo̱nahmu ra metlateloltso ba tso̱ni nuni tsuauhtitlán nu'u̱ ra topantemotstzin, ra tlatsochtsáltsatl, ra tsoyohuehuetzin ne ra temilotzin.	nub'u̱ sti nxanihe n'ambu̱ ya bo̱nahmu ra metlateloltso ba tso̱ni nuni tsuauhtitlán nu'u̱ ra topantemotstzin, ra tlatsotxtsáltsatl, ra tsoyohuehuetzin ne ra temilotzin.	nubʔɨ sti nšanihe nʔambɨ ya bɔnahmu ra metlatelolco ba cɔni nuni cuauhtitlán nuʔɨ ra topantemoctzin, ra tlacočcálcatl, ra coyohuehuetzin ne ra temilotzin.	nubʔɨ sti nʃanihe nʔambɨ ja bɔnahmu ra metlatelolt͡so ba t͡sɔni nuni t͡suauhtitlán nuʔɨ ra topantemot͡stzin, ra tlat͡sot͡ʃt͡sált͡satl, ra t͡sojohuehuetzin ne ra temilotzin.
196	tzin	Malintzin:	Bi mä ra Malintzin:	bi mä ra malintzin:	bi mä ra malintzin:	bi mä ra malintzin:	bi mᶏ ra malintzin:	bi mã ra malintzin:
197	tzin	Cuauhtemoctzin.	Bi ne da ya ot'e da ñá.  Geb'u̱ bri tsot'abi ya ua ra Cuauhtemoctzin.	bi ne da ya ot'e da ñá. geb'u̱ bri tsot'abi ya ua ra tsuaujtemotstzin.	bi ne da ya ot'e da ñá. geb'u̱ bri tsot'abi ya ua ra tsuauhtemotstzin.	bi ne da ya ot'e da ñá. geb'u̱ bri tsot'abi ya ua ra tsuauhtemotstzin.	bi ne da ya otʔe da ñá. gebʔɨ bri cotʔabi ya ua ra cuauhtemoctzin.	bi ne da ja otʔe da ɲá. gebʔɨ bɾi t͡sotʔabi ja ua ra t͡suauhtemot͡stzin.
198	tzin	Chiyauhtzinco,	Nugi, ra Miguel Hernández ge di pe̱tsi ma ngu nuni Chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor Alonso Ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra Quamochtitla.	nugi, ra miguel jernández ge di pe̱tsi ma ngu nuni chiyaujtzintso, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱jnant'ofo di joki go tso̱n'i ko nge'i, ma t'ek'ei bo̱najmu'i nda dotstor alonso ruiz, ra nk'ojnate ge gi b'ui nuua ja ra jnini ra quamochtitla.	nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzintso, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda dotstor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla.	nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni txiyauhtzintso, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda dotstor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamotxtitla.	nugi, ra miguel hernández ge di pɛci ma ngu nuni čiyauhtzinco, ko ra tʔekʔei di udi ko ngeʔi, nuna mʔɛhnantʔopho di hoki go cɔnʔi ko ngeʔi, ma tʔekʔei bɔnahmuʔi nda doctor alonso ruiz, ra nkʔohnate ge gi bʔui nuua ha ra hnini ra quamočtitla.	nugi, ra miguel heɾnández ge di pɛt͡si ma ngu nuni t͡ʃijauhtzint͡so, ko ra tʔekʔei di udi ko ngeʔi, nuna mʔɛhnantʔoɸo di hoki go t͡sɔnʔi ko ngeʔi, ma tʔekʔei bɔnahmuʔi nda dot͡stoɾ alonso ruiz, ra nkʔohnate ge gi bʔui nuua ha ra hnini ra quamot͡ʃtitla.
199	tzin	Hecatzin	o̱t'e, bi nangi ra Hecatzin bi yopa fo̱te m'estho bi juat'i mar'a pa bi ju̱t'a nu'a ra ñämfo̱.	o̱t'e, bi nangi ra jetsatzin bi yopa fo̱te m'estjo bi juat'i mar'a pa bi ju̱t'a nu'a ra ñämfo̱.	o̱t'e, bi nangi ra hetsatzin bi yopa fo̱te m'estho bi juat'i mar'a pa bi ju̱t'a nu'a ra ñämfo̱.	o̱t'e, bi nangi ra hetsatzin bi yopa fo̱te m'estho bi juat'i mar'a pa bi ju̱t'a nu'a ra ñämfo̱.	ɔtʔe, bi nangi ra hecatzin bi yopa phɔte mʔestho bi khuatʔi marʔa pa bi khɨtʔa nuʔa ra ñᶏmphɔ.	ɔtʔe, bi nangi ra het͡satzin bi jopa ɸɔte mʔestho bi khuatʔi maɾʔa pa bi khɨtʔa nuʔa ra ɲãmɸɔ.
200	tzin	Itzcohuatzin.	Ra Ge̱ya yoho nonayaxi. Nub'u̱ bri tho ra ndä ra Ts'e̱y'e̱hmu nehe bi du ra Tlacochcálcatl, me Tlatelolco, Itzcohuatzin.	ra ge̱ya yojo nonayaxi. nub'u̱ bri tjo ra ndä ra ts'e̱y'e̱jmu neje bi du ra tlatsochtsáltsatl, me tlateloltso, itztsojuatzin.	ra ge̱ya yoho nonayaxi. nub'u̱ bri tho ra ndä ra ts'e̱y'e̱hmu nehe bi du ra tlatsochtsáltsatl, me tlateloltso, itztsohuatzin.	ra ge̱ya yoho nonayaxi. nub'u̱ bri tho ra ndä ra ts'e̱y'e̱hmu nehe bi du ra tlatsotxtsáltsatl, me tlateloltso, itztsohuatzin.	ra gɛya yoho nonayaši. nubʔɨ bri tho ra ndᶏ ra cʔɛyʔɛhmu nehe bi du ra tlacočcálcatl, me tlatelolco, itzcohuatzin.	ra gɛja joho nonajaʃi. nubʔɨ bɾi tho ra ndã ra t͡sʔɛjʔɛhmu nehe bi du ra tlat͡sot͡ʃt͡sált͡satl, me tlatelolt͡so, itzt͡sohuatzin.
201	ochi	teochichimecas,	Nuua hmä, tengu ga tso̱ho̱, bi yu̱t'a ya däk'ei, nu'u̱ bri zipabi ya teochichimecas, ya jä'i ra Aztlan, ya ndeznä nub'u̱ xki tso̱ho̱ mi honi ya hai, da ja me̱tsi nuua ha ra dänga hnini M'onda—Bondo,	nuua jmä, tengu ga tso̱jo̱, bi yu̱t'a ya däk'ei, nu'u̱ bri zipabi ya teochichimetsas, ya jä'i ra aztlan, ya ndeznä nub'u̱ xki tso̱jo̱ mi joni ya jai, da ja me̱tsi nuua ja ra dänga jnini m'onda-bondo,	nuua hmä, tengu ga tso̱ho̱, bi yu̱t'a ya däk'ei, nu'u̱ bri zipabi ya teochichimetsas, ya jä'i ra aztlan, ya ndeznä nub'u̱ xki tso̱ho̱ mi honi ya hai, da ja me̱tsi nuua ha ra dänga hnini m'onda-bondo,	nuua hmä, tengu ga tso̱ho̱, bi yu̱t'a ya däk'ei, nu'u̱ bri zipabi ya teotxitximetsas, ya jä'i ra aztlan, ya ndeznä nub'u̱ xki tso̱ho̱ mi honi ya hai, da ja me̱tsi nuua ha ra dänga hnini m'onda-bondo,	nuua hmᶏ, tengu ga cɔhɔ, bi yɨtʔa ya dᶏkʔei, nuʔɨ bri zipabi ya teočičimecas, ya khᶏʔi ra aztlan, ya ndeznᶏ nubʔɨ ški cɔhɔ mi honi ya hai, da kha mɛci nuua ha ra dᶏnga hnini mʔonda-bondo,	nuua hmã, tengu ga t͡sɔhɔ, bi jɨtʔa ja dãkʔei, nuʔɨ bɾi zipabi ja teot͡ʃit͡ʃimet͡sas, ja khãʔi ra aztlan, ja ndeznã nubʔɨ ʃki t͡sɔhɔ mi honi ja hai, da kha mɛt͡si nuua ha ra dãnga hnini mʔonda-bondo,
202	ochi	Ixtlilxochitl	Ra Cortés bi uni ra njamädi po ra hmäte ge nu'a ra Ixtlilxochitl ne ko ya ku ra nge'a xki tsini xahño, po ra njut'i, po ra hñäki bi unga ra mpu̱nga noya mi zi ra Aguilar,	ra tsortés bi uni ra njamädi po ra jmäte ge nu'a ra ixtlilxochitl ne ko ya ku ra nge'a xki tsini xajño, po ra njut'i, po ra jñäki bi unga ra mpu̱nga noya mi zi ra aguilar,	ra tsortés bi uni ra njamädi po ra hmäte ge nu'a ra ixtlilxochitl ne ko ya ku ra nge'a xki tsini xahño, po ra njut'i, po ra hñäki bi unga ra mpu̱nga noya mi zi ra aguilar,	ra tsortés bi uni ra njamädi po ra hmäte ge nu'a ra ixtlilxotxitl ne ko ya ku ra nge'a xki tsini xahño, po ra njut'i, po ra hñäki bi unga ra mpu̱nga noya mi zi ra aguilar,	ra cortés bi uni ra nkhamᶏdi po ra hmᶏte ge nuʔa ra ištlilšočitl ne ko ya ku ra ngeʔa ški cini šahño, po ra nkhutʔi, po ra hñᶏki bi unga ra mpɨnga noya mi zi ra aguilar,	ra t͡soɾtés bi uni ra nkhamãdi po ra hmãte ge nuʔa ra iʃtlilʃot͡ʃitl ne ko ja ku ra ngeʔa ʃki t͡sini ʃahɲo, po ra nkhutʔi, po ra hɲãki bi unga ra mpɨnga noja mi zi ra aguilaɾ,
203	ochi	Xochimilco	—Di ne ga handi habu̱ tat'i nuya hai gra hmuhu̱, nuua M'onda, to'o ya tepanecas ne ya hai ya Acolhuacan, Xochimilco ne Chalco.	-di ne ga jandi jabu̱ tat'i nuya jai gra jmuju̱, nuua m'onda, to'o ya tepanetsas ne ya jai ya atsoljuatsan, xochimiltso ne chaltso.	-di ne ga handi habu̱ tat'i nuya hai gra hmuhu̱, nuua m'onda, to'o ya tepanetsas ne ya hai ya atsolhuatsan, xochimiltso ne chaltso.	-di ne ga handi habu̱ tat'i nuya hai gra hmuhu̱, nuua m'onda, to'o ya tepanetsas ne ya hai ya atsolhuatsan, xotximiltso ne txaltso.	-di ne ga handi habɨ tatʔi nuya hai gra hmuhɨ, nuua mʔonda, toʔo ya tepanecas ne ya hai ya acolhuacan, šočimilco ne čalco.	-di ne ga handi habɨ tatʔi nuja hai gɾa hmuhɨ, nuua mʔonda, toʔo ja tepanet͡sas ne ja hai ja at͡solhuat͡san, ʃot͡ʃimilt͡so ne t͡ʃalt͡so.
204	ochi	Ixtlixochitl	m'e̱fa ri ngäi ra xäntho ra t'u̱ ra dänga ndä ra Ixtlixochitl bi do̱m'i ra Cortés,	m'e̱fa ri ngäi ra xäntjo ra t'u̱ ra dänga ndä ra ixtlixochitl bi do̱m'i ra tsortés,	m'e̱fa ri ngäi ra xäntho ra t'u̱ ra dänga ndä ra ixtlixochitl bi do̱m'i ra tsortés,	m'e̱fa ri ngäi ra xäntho ra t'u̱ ra dänga ndä ra ixtlixotxitl bi do̱m'i ra tsortés,	mʔɛpha ri ngᶏi ra šᶏntho ra tʔɨ ra dᶏnga ndᶏ ra ištlišočitl bi dɔmʔi ra cortés,	mʔɛɸa ri ngãi ra ʃãntho ra tʔɨ ra dãnga ndã ra iʃtliʃot͡ʃitl bi dɔmʔi ra t͡soɾtés,
205	ochi	mexochimilco	Ra Cortés, di mä ra ts'e̱di ya tepanecas, acolhuas ne ya mexochimilco ne ya mechalco njabu̱ bi mä:	ra tsortés, di mä ra ts'e̱di ya tepanetsas, atsoljuas ne ya mexochimiltso ne ya mechaltso njabu̱ bi mä:	ra tsortés, di mä ra ts'e̱di ya tepanetsas, atsolhuas ne ya mexochimiltso ne ya mechaltso njabu̱ bi mä:	ra tsortés, di mä ra ts'e̱di ya tepanetsas, atsolhuas ne ya mexotximiltso ne ya metxaltso njabu̱ bi mä:	ra cortés, di mᶏ ra cʔɛdi ya tepanecas, acolhuas ne ya mešočimilco ne ya mečalco nkhabɨ bi mᶏ:	ra t͡soɾtés, di mã ra t͡sʔɛdi ja tepanet͡sas, at͡solhuas ne ja meʃot͡ʃimilt͡so ne ja met͡ʃalt͡so nkhabɨ bi mã:
206	ochi	mexochimilco	Nehe r'a mexochimilco bi zi ya tsat'yo. Ne hñu ya bohmía mra mengu Ehécatl, xki ñ'ehebu̱  Tetzcoco, nehe bi zi ya tsat'yo.	neje r'a mexochimiltso bi zi ya tsat'yo. ne jñu ya bojmía mra mengu ejétsatl, xki ñ'ejebu̱ tetztsotso, neje bi zi ya tsat'yo.	nehe r'a mexochimiltso bi zi ya tsat'yo. ne hñu ya bohmía mra mengu ehétsatl, xki ñ'ehebu̱ tetztsotso, nehe bi zi ya tsat'yo.	nehe r'a mexotximiltso bi zi ya tsat'yo. ne hñu ya bohmía mra mengu ehétsatl, xki ñ'ehebu̱ tetztsotso, nehe bi zi ya tsat'yo.	nehe rʔa mešočimilco bi zi ya catʔyo. ne hñu ya bohmía mra mengu ehécatl, ški ñʔehebɨ tetzcoco, nehe bi zi ya catʔyo.	nehe rʔa meʃot͡ʃimilt͡so bi zi ja t͡satʔjo. ne hɲu ja bohmía mɾa mengu ehét͡satl, ʃki ɲʔehebɨ tetzt͡sot͡so, nehe bi zi ja t͡satʔjo.
207	ochi	Xochimilco	Habu̱ ra za bri jot'i nuya me Xochimilco ha ya mäts'a.	jabu̱ ra za bri jot'i nuya me xochimiltso ja ya mäts'a.	habu̱ ra za bri jot'i nuya me xochimiltso ha ya mäts'a.	habu̱ ra za bri jot'i nuya me xotximiltso ha ya mäts'a.	habɨ ra za bri khotʔi nuya me šočimilco ha ya mᶏcʔa.	habɨ ra za bɾi khotʔi nuja me ʃot͡ʃimilt͡so ha ja mãt͡sʔa.
208	ochi	cochi	Dá handi ‘na ra cochi ra k'angi bi thogi.	dá jandi 'na ra tsochi ra k'angi bi tjogi.	dá handi 'na ra tsochi ra k'angi bi thogi.	dá handi 'na ra tsotxi ra k'angi bi thogi.	dá handi ʔna ra coči ra kʔangi bi thogi.	dá handi ʔna ra t͡sot͡ʃi ra kʔangi bi thogi.
209	ochi	gochixya'	pi xo gochixya' porke xo bitsó déhéya' xo	pi xo gochixya' porke xo bitsó déjéya' xo	pi xo gochixya' porke xo bitsó déhéya' xo	pi xo gotxixya' porke xo bitsó déhéya' xo	pi šo gočišyaʔ porke šo bicó déhéyaʔ šo	pi ʃo got͡ʃiʃjaʔ poɾke ʃo bit͡só déhéjaʔ ʃo
210	ochi	teochichimecal,	¡Oh xi ra huekate dige'ihu̱ ge xka b'e̱dihu nu'a ra hoga mfädi ya ñ'o̱ho̱ ge mi pe̱tsi ne mi tsokagihu̱ ma mbo̱xitahu̱ ge mi pe̱tsi ya hoga ji dige'a ma nteb'u̱ ya teochichimecal, ge'u̱ ya mu̱di bi m'u̱i nuya ma haihu̱ habu̱ inte mi otho!	¡oj xi ra juekate dige'iju̱ ge xka b'e̱diju nu'a ra joga mfädi ya ñ'o̱jo̱ ge mi pe̱tsi ne mi tsokagiju̱ ma mbo̱xitaju̱ ge mi pe̱tsi ya joga ji dige'a ma nteb'u̱ ya teochichimetsal, ge'u̱ ya mu̱di bi m'u̱i nuya ma jaiju̱ jabu̱ inte mi otjo!	¡oh xi ra huekate dige'ihu̱ ge xka b'e̱dihu nu'a ra hoga mfädi ya ñ'o̱ho̱ ge mi pe̱tsi ne mi tsokagihu̱ ma mbo̱xitahu̱ ge mi pe̱tsi ya hoga ji dige'a ma nteb'u̱ ya teochichimetsal, ge'u̱ ya mu̱di bi m'u̱i nuya ma haihu̱ habu̱ inte mi otho!	¡oh xi ra huekate dige'ihu̱ ge xka b'e̱dihu nu'a ra hoga mfädi ya ñ'o̱ho̱ ge mi pe̱tsi ne mi tsokagihu̱ ma mbo̱xitahu̱ ge mi pe̱tsi ya hoga ji dige'a ma nteb'u̱ ya teotxitximetsal, ge'u̱ ya mu̱di bi m'u̱i nuya ma haihu̱ habu̱ inte mi otho!	¡oh ši ra huekate digeʔihɨ ge ška bʔɛdihu nuʔa ra hoga mphᶏdi ya ñʔɔhɔ ge mi pɛci ne mi cokagihɨ ma mbɔšitahɨ ge mi pɛci ya hoga khi digeʔa ma ntebʔɨ ya teočičimecal, geʔɨ ya mɨdi bi mʔɨi nuya ma haihɨ habɨ inte mi otho!	¡oh ʃi ra huekate digeʔihɨ ge ʃka bʔɛdihu nuʔa ra hoga mɸãdi ja ɲʔɔhɔ ge mi pɛt͡si ne mi t͡sokagihɨ ma mbɔʃitahɨ ge mi pɛt͡si ja hoga khi digeʔa ma ntebʔɨ ja teot͡ʃit͡ʃimet͡sal, geʔɨ ja mɨdi bi mʔɨi nuja ma haihɨ habɨ inte mi otho!
211	ochi	Tlaxochimaco	Ha ra je̱ya hñu ngu (3—Casa) mra je̱ya ya ñämfo̱ ra 1521 bri thäpabi ya mu̱dimehai ra hnini. Ra pa da nxanihe habu̱ ra za mra Tlaxochimaco ga mähu̱ ra mu̱di pa ra k'ehña.	ja ra je̱ya jñu ngu (3-tsasa) mra je̱ya ya ñämfo̱ ra 1521 bri tjäpabi ya mu̱dimejai ra jnini. ra pa da nxanije jabu̱ ra za mra tlaxochimatso ga mäju̱ ra mu̱di pa ra k'ejña.	ha ra je̱ya hñu ngu (3-tsasa) mra je̱ya ya ñämfo̱ ra 1521 bri thäpabi ya mu̱dimehai ra hnini. ra pa da nxanihe habu̱ ra za mra tlaxochimatso ga mähu̱ ra mu̱di pa ra k'ehña.	ha ra je̱ya hñu ngu (3-tsasa) mra je̱ya ya ñämfo̱ ra 1521 bri thäpabi ya mu̱dimehai ra hnini. ra pa da nxanihe habu̱ ra za mra tlaxotximatso ga mähu̱ ra mu̱di pa ra k'ehña.	ha ra khɛya hñu ngu (3-casa) mra khɛya ya ñᶏmphɔ ra 1521 bri thᶏpabi ya mɨdimehai ra hnini. ra pa da nšanihe habɨ ra za mra tlašočimaco ga mᶏhɨ ra mɨdi pa ra kʔehña.	ha ra khɛja hɲu ngu (3-t͡sasa) mɾa khɛja ja ɲãmɸɔ ra 1521 bɾi thãpabi ja mɨdimehai ra hnini. ra pa da nʃanihe habɨ ra za mɾa tlaʃot͡ʃimat͡so ga mãhɨ ra mɨdi pa ra kʔehɲa.
212	ochi	kochi,	Dí ne njät'i xá hño mä kochi, ngu dra 'ra'yo. 	dí ne njät'i xá jño mä kochi, ngu dra 'ra'yo.	dí ne njät'i xá hño mä kochi, ngu dra 'ra'yo.	dí ne njät'i xá hño mä kotxi, ngu dra 'ra'yo.	dí ne nkhᶏtʔi šá hño mᶏ koči, ngu dra ʔraʔyo.	dí ne nkhãtʔi ʃá hɲo mã kot͡ʃi, ngu dɾa ʔɾaʔjo.
213	ochi	mexochimilco,	Nugi ra mexicatl, indi pe̱tsi ra hai ni ra thoka näni nub'u̱ da ehe pa njaua ko nuya tepanecas ne ya mexochimilco,	nugi ra mexitsatl, indi pe̱tsi ra jai ni ra tjoka näni nub'u̱ da eje pa njaua ko nuya tepanetsas ne ya mexochimiltso,	nugi ra mexitsatl, indi pe̱tsi ra hai ni ra thoka näni nub'u̱ da ehe pa njaua ko nuya tepanetsas ne ya mexochimiltso,	nugi ra mexitsatl, indi pe̱tsi ra hai ni ra thoka näni nub'u̱ da ehe pa njaua ko nuya tepanetsas ne ya mexotximiltso,	nugi ra mešicatl, indi pɛci ra hai ni ra thoka nᶏni nubʔɨ da ehe pa nkhaua ko nuya tepanecas ne ya mešočimilco,	nugi ra meʃit͡satl, indi pɛt͡si ra hai ni ra thoka nãni nubʔɨ da ehe pa nkhaua ko nuja tepanet͡sas ne ja meʃot͡ʃimilt͡so,
