OTS	OTQ
r'a nuna mi ntjandi ngu nu'a ma tjänkjuaju̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ja ya ngo̱,	r'a nuna mi ntʰandi ngu nu'a ma tʃänkjuahua (yɨtlilmatli), xi mra ntso, mi kuet'e ja ya ngɔ̱,
xa zägi mpaja, nub'u̱ xa nkjabu̱ xa kjapabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda kjapi xa po̱jo̱ bi ya kue̱ ra nge'a ya kjä'i xi mra no̱t'e ne mra jyotekjä'i,	xa sägi mpaha, nub'u̱ xa ngkabu̱ xa kjapabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda kjapi xa po̱ho̱ bi ya kue̱ ra nge'a ya kjä'i xi mra no̱t'e ne mra jyotekjä'i,
y'o, ri ma ne gi xipabiju̱ ya metlaxcala ge ma r'a ya me̱ti kjä'i ne ri ajuäju̱, ge nu'a ga mä ge xa eje nuua ma jaiju̱, ge di umbabije ma ntjädije.	y'o, ri ma ne gi xipabihu̱ ya metlaxkala ge ma r'a ya me̱ti kjä'i ne ri ajuähu̱, ge nu'a ga mä ge xa eje nuwa ma jaihu̱, ge di umbabije ma ntjädije.
¿te da o̱t'e ma kjä'iju̱ sta b'e̱diju̱?	¿te da o̱t'e ma kä'ihu̱ sta b'e̱dihu̱?
-da ts'iua:... ri ñ'eje ge'a ma nkjueij'u̱. da o̱t'eje ya ñ'o̱te ko ya je̱m'i, ya ñ'o̱t'eje ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya.	-da tsiwa:... ri ñeje ge'a ma nkjueij'u̱. da oteje ya ñote ko ya jemi, ya ñoteje ko ya ntuts'i. da otse ra beña noya.
-dom'i ma akjuäju̱ ge inda yu̱t'a ja ma nguju̱ nuju̱ to'o e̱nts'i pa tji ne da jokuabi ra jonanjyo nub'u̱ sta ne da jyoki ya inda za.	-dom'i ma akwäwü ge inda yu̱t'a ja ma nguwü nuwü to'o e̱nc'i pa tji ne da jokuabi ra jonanjyo nub'u̱ sta ne da jyoki ya inda za.
-o̱t'a ra mäte gi o̱deju̱, kja gi b'ai nuuaju̱. mont'a ya ngo akjuä; ri kjuat'i ra ngo ga tsunda ma akjuäje.	-o̱t'a ra mäte gi o̱dehu, kha gi b'ai nuwaju. mont'a ya ngo akhuä; ri kwat'i ra ngo ga tsunda ma akhuäje.
-xa jño, di b'u̱ije nkjamädije.	"-xa jño, di b'u̱ije nkjamädije.
OTQ: -xa jño, di b'u̱ije nkjamädije."
-¿nguande nkjabu̱ ga mäu gra kjuäju̱?	-¿nguande nkjabu̱ ga mäu gra kjuäju̱?
-ñ'emabagi, ya gabida, ya kjä'iju̱ gi pädi ra ntuni ra mem'onda ba ejeju̱ ga te̱niju̱ma nzu̱teju̱. ko ya mätsa mi te̱je̱, ko ya bu̱'bai ko ngatjo ra ts'e̱di mi te̱je̱ ra ñ'u.	-ñ'emabagi, ya gabida, ya kjä'iju̱ gi pädi ra ntuni ra mem'onda ba ejeju̱ ga te̱niju̱ma nzu̱teju̱. ko ya mätsa mi te̱je̱, ko ya bu̱'bai ko ngatjo ra ts'e̱di mi te̱je̱ ra ñ'u.
bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya nkjändajmä, ngu nu'a ra jmä ra alonso axayaca, gojo n'ate ma pa bi nzo̱t'e nuna pa.	bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya nkjändajmä, ngu nu'a ra jmä ra alonso axayaca, gojo n'ate ma pa bi nzo̱t'e nuna pa.
into y'o mankjuäntjo, into pa ri nektjo.	OTQ: into y'o mankhwänto, into pa ri nekto.
nub'u̱ ndi umbabije ma nkjut'ije xki nzäi ndi da'ije, mi adi n'a tu̱ki neje nub'u̱ ndi unije ya k'astaboja mi jäni made n'a tu̱ki [...]	nub'u̱ ndi umbabixe ma nkjut'ixe xki nzäi ndi da'ixe, mi adi n'a tu̱ki neje nub'u̱ ndi unixe ya k'astaboja mi jäni made n'a tu̱ki [...]
ya miñ'o ko ngejna jmä ri kjojya,	ya miñ'o ko ngejna jma ri kjoya,
bi tso̱jso̱ ra ngo ma akjuäju̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tsojso ra ngo ma akjuäju: nubia da fudi da guadi ra re̱t'a ra pa.
